Number,Time,RFID,genotype,ContactTotalLen,ContactNb,Oral-oralContactTotalLen,Oral-oralContactNb,Oral-genitalContactTotalLen,Oral-genitalContactNb,SidebysideContactTotalLen,SidebysideContactNb,"SidebysideContact,oppositewayTotalLen","SidebysideContact,oppositewayNb",SocialapproachTotalLen,SocialapproachNb,GetawayTotalLen,GetawayNb,ApproachcontactTotalLen,ApproachcontactNb,ApproachrearTotalLen,ApproachrearNb,BreakcontactTotalLen,BreakcontactNb,FollowZoneIsolatedTotalLen,FollowZoneIsolatedNb,Train2TotalLen,Train2Nb,Group2TotalLen,Group2Nb,Group3TotalLen,Group3Nb,Group3breakTotalLen,Group3breakNb,Group3makeTotalLen,Group3makeNb,Group4breakTotalLen,Group4breakNb,Group4makeTotalLen,Group4makeNb,MoveisolatedTotalLen,MoveisolatedNb,MoveincontactTotalLen,MoveincontactNb,RearingTotalLen,RearingNb,RearisolatedTotalLen,RearisolatedNb,RearincontactTotalLen,RearincontactNb,StopisolatedTotalLen,StopisolatedNb,WallJumpTotalLen,WallJumpNb,WaterZoneTotalLen,WaterZoneNb,totalDistance,,,,
5,Night,22986409,HT,0.65619072,0.882103478,0.518229694,0.611553096,0.658785199,0.679095355,0.555019008,0.570507183,0.695590884,0.595050946,0.970649005,1.006478682,0.973973175,0.873565493,0.767339622,0.670138889,0.865120681,0.789350771,1.116144792,0.986666667,0.731990232,0.773508595,0.566666667,0.222222222,0.439355941,0.824096386,1.208536206,0.985673352,1.943502825,1.943502825,1.962264151,1.962264151,0.75,0.75,0.722891566,0.722891566,0.979385856,0.861190424,0.739928799,0.765392354,0.836422366,0.995970991,1.441641253,1.45243129,0.715537114,0.777135517,1.109422128,1.011960003,0.325044405,0.333333333,0.848366094,1.423868313,1.070987383,,,,
4,Night,22986492,HT,1.000179441,1.150127226,1.004354871,0.787962643,0.812008378,0.784841076,0.932360697,0.807974201,0.928890281,0.783697234,0.950383516,0.911951626,0.994718644,0.973288484,1.050066157,1.046006944,1.073355419,1.09574965,0.84299356,0.963333333,0.826617827,0.906976744,0.533333333,0.666666667,0.890051975,1.191967871,1.314099244,1.163323782,1.242937853,1.242937853,1.06918239,1.06918239,0.886363636,0.886363636,1.012048193,1.012048193,0.624597292,0.434329014,0.939666479,1.018913481,1.015519393,0.870803116,0.812309398,0.877378436,0.793914246,0.878612717,0.766860513,0.462845566,0.191829485,0.198550725,0.739130435,2.205761317,0.916140613,,,,
6,Day,22986495,HT,0.927947433,1.099716343,0.901827312,0.847248873,0.948100147,0.886642234,0.912075368,0.889348596,0.932463152,0.93709025,1.007704131,0.99895994,1.059706155,1.019355532,0.953019969,0.973097386,0.858170675,0.829451084,1.057639585,0.920428106,0.974806271,1.012069623,0.915194346,0.926829268,0.994104599,1.06721144,0.774598671,0.965103832,1.008032129,1.008032129,1.045899172,1.045899172,1.056790123,1.056790123,0.959798995,0.959798995,1.216482445,1.197186121,0.941956534,0.944872253,0.927539471,1.238828103,1.17779294,1.536984168,0.99356845,0.894695419,0.903299283,1.129403644,0.979187314,0.980509745,0.354023875,0.092544379,1.082925428,,,,
7,Day,22986494,HT,0.777657496,0.903120227,0.805802822,0.798607702,0.812777136,0.867601837,0.824906922,0.857996598,0.867119996,0.907053517,0.988842293,1.038840871,1.063892042,1.005574286,0.81677726,0.781526761,0.784691226,0.775369658,1.053761284,0.938110749,1.021445305,1.069749714,0.90459364,0.829268293,0.765340844,0.881920327,0.765599958,0.920573753,0.955823293,0.955823293,0.957110609,0.957110609,0.82962963,0.82962963,0.793969849,0.793969849,1.179243805,1.063480873,0.878820719,0.868070784,0.948959769,1.886818164,2.330520343,2.905268622,0.87977949,0.749881946,1.190248192,1.239356063,1.330690453,1.28035982,3.051378688,0.510059172,1.155051956,,,,
6,Night,22986495,HT,0.822317322,1.003878976,1.079212344,0.589402097,0.717035538,0.686708181,0.764106963,0.991575992,0.638536654,1.105840847,1.311136745,1.440457288,1.12878553,1.219593039,0.940845229,0.973792808,0.772058824,0.742268041,0.888608871,0.852483321,1.313426772,1.346142116,0.298507463,0.4,0.829546376,0.846913014,0.807568501,1.104669887,2.076335878,2.076335878,2.121037464,2.121037464,2,2,0,0,0.930449941,0.834190231,0.94200234,1.062875888,1.386475181,1.127716117,1.840201199,2.792739553,0.463949843,0.635658915,1.209901894,1.853362256,1.640776699,1.672131148,0.6,0.545454545,1.268935881,,,,
7,Night,22986494,HT,1.021237222,0.657874321,1.267878621,0.842731652,1.006298217,0.618853339,0.727408347,0.941382941,0.857129422,0.805566445,1.089765101,1.139999093,0.991627907,1.049995396,1.022045781,1.10359612,1.007352941,1.041237113,0.689516129,0.689399555,1.330895795,1.352241537,0.149253731,0.2,0.959987032,0.583887996,1.139985868,0.692431562,1.165394402,1.165394402,1.123919308,1.123919308,2,2,0,0,0.486369511,0.353470437,0.987130202,1.167851285,1.171629785,0.892605909,3.262139679,3.994090333,0.645768025,0.837209302,0.922819392,0.627042661,0.898058252,0.93989071,0.217142857,0.181818182,1.063068527,,,,
8,Day,22986552,HT,1.035304153,1.043963342,0.948347459,0.815802781,1.039880229,0.84757097,1.033903891,0.946316557,1.11291468,1.038862418,1.017147824,1.108029905,0.757749713,0.801900421,0.89813027,1.002404574,0.825626342,0.864192233,0.89058613,1.042908614,0.902451994,1.004230394,0.512820513,0.524590164,0.985248476,1.04059133,1.21815792,1.040507221,1.073015873,1.073015873,1.078787879,1.078787879,0.91588785,0.91588785,0.984615385,0.984615385,0.938588738,1.093615884,0.772407961,0.817177228,0.920615291,1.356856455,2.477955912,2.133271202,1.110794555,1.031205674,1.071780807,1.142412951,1.209810479,1.205114544,0.862275449,1.169381107,0.963492665,,,,
7,Day,22986494,HT,0.89607333,1.002523576,0.814033834,0.769911504,1.188357056,0.828951682,0.877658493,0.89321663,1.042964391,0.961435378,1.007516854,1.038320873,0.91672996,0.92324484,0.893833332,0.906898456,0.69706514,0.712293499,0.979967704,0.945299705,1.003722304,1.095997397,0.75990676,0.721311475,0.857232945,0.967677274,1.001378514,0.982035928,1.092063492,1.092063492,1.166060606,1.166060606,1.065420561,1.065420561,1.097435897,1.097435897,1.08424804,1.115498892,0.812735788,0.828367604,0.940437949,1.101666221,1.239144957,1.327120224,0.881291548,0.781560284,1.184094001,1.287219604,1.287848384,1.280767182,0.532308517,0.716612378,1.153649732,,,,
8,Night,22986552,HT,0.866422196,1.291338583,0.834320101,0.755087209,1.053333333,0.953874539,1.180369101,1.471723671,0.898554999,1.071018277,1.174528125,1.366800852,0.815010571,0.87873558,0.882638031,0.910006428,1.160621762,1,0.857911251,1.037234043,2.086521483,2.156278229,0.322580645,0.4,0.829961068,1.226395939,0.963947321,1.22173913,1.483443709,1.483443709,1.428571429,1.428571429,0.689655172,0.689655172,0.4375,0.4375,0.671945268,0.504318363,0.694189602,0.768756423,0.598123836,0.778508275,0.660660661,0.26187962,0.988372093,0.988505747,0.5773948,0.590403745,0.872856681,0.824314307,0.837049743,0.448275862,0.804398065,,,,
7,Night,22986494,HT,1.151562542,1.340832396,1.100747355,1.082848837,1.225528455,1.457564576,1.465903732,1.716220792,1.404246535,1.571801567,1.605838868,1.847659642,1.199500288,1.266600055,1.248408249,1.264838226,0.870466321,1.015151515,1.278350515,1.393617021,2.824014126,2.970189702,1.032258065,1.2,1.233060993,1.376649746,0.910076873,1.139130435,0.993377483,0.993377483,1.020408163,1.020408163,1.448275862,1.448275862,1.0625,1.0625,0.814084379,0.558762955,1.030326198,1.079136691,0.586846096,1.137157107,0.256256256,0.13938754,0.38372093,0.459770115,0.476237173,0.512130351,1.303138143,1.234988881,0.638078902,0.24137931,1.028494863,,,,
